,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
2007,NFL,Arizona Cardinals,8,8,0,2nd of 4,,404,399,5,Whisenhunt,Pace,Warner,James,Fitzgerald,7,12,27,17,22,15,13,32,0.3,-4.3,-3.9,1.9,-5.9
2006,NFL,Arizona Cardinals,5,11,0,4th of 4,,314,389,-75,Green,Boldin,Leinart,James,Boldin,19,18,29,29,12,25,25,32,-4.7,-2.2,-6.9,-2.6,-4.3
2005,NFL,Arizona Cardinals,5,11,0,3rd of 4,,311,387,-76,Green,Boldin,Warner,Shipp,Fitzgerald,17,8,26,8,30,23,3,32,-4.8,-0.2,-5.0,-2.0,-3.0
2004,NFL,Arizona Cardinals,6,10,0,3rd of 4,,284,322,-38,Green,Berry,McCown,Smith,Fitzgerald,26,27,12,12,18,21,26,32,-2.4,-2.5,-4.9,-5.1,0.2
2003,NFL,Arizona Cardinals,4,12,0,4th of 4,,225,452,-227,McGinnis,Boldin,Blake,Shipp,Boldin,32,27,32,26,30,32,28,32,-14.2,1.6,-12.6,-6.3,-6.2
2002,NFL,Arizona Cardinals,5,11,0,4th of 4,,262,417,-155,McGinnis,Shipp,Plummer,Shipp,Boston,29,27,29,29,27,31,30,32,-9.7,-0.2,-9.9,-5.4,-4.5
2001,NFL,Arizona Cardinals,7,9,0,4th of 5,,295,343,-48,McGinnis,Boston,Plummer,Pittman,Boston,20,18,22,28,18,21,29,31,-3.0,-1.2,-4.2,-1.5,-2.6
2000,NFL,Arizona Cardinals,3,13,0,5th of 5,,210,443,-233,TobinMcGinnis,Boston,Plummer,Pittman,Boston,29,24,30,30,30,30,27,31,-14.6,-0.7,-15.2,-7.2,-8.1
1999,NFL,Arizona Cardinals,6,10,0,4th of 5,,245,382,-137,Tobin,Williams,Plummer,Murrell,Sanders,30,29,27,22,30,27,29,31,-8.6,-0.2,-8.8,-5.5,-3.2
1998,NFL,Arizona Cardinals*,9,7,0,2nd of 5,Lost Div,325,378,-53,Tobin,Plummer,Plummer,Murrell,Sanders,15,13,24,21,11,18,17,30,-3.3,-4.1,-7.4,-1.6,-5.8
1997,NFL,Arizona Cardinals,4,12,0,5th of 5,,283,379,-96,Tobin,Williams,Plummer,McElroy,Moore,25,24,25,27,29,27,29,30,-6.0,-0.4,-6.4,-2.6,-3.8
1996,NFL,Arizona Cardinals,7,9,0,4th of 5,,300,397,-97,Tobin,Williams,Esiason,Johnson,Moore,22,13,26,21,26,26,17,30,-6.1,-1.4,-7.5,-1.7,-5.8
1995,NFL,Arizona Cardinals,4,12,0,5th of 5,,275,422,-147,Ryan,Williams,Krieg,Hearst,Centers,27,24,30,26,16,29,27,30,-9.2,1.7,-7.5,-3.5,-4.0
1994,NFL,Arizona Cardinals,8,8,0,3rd of 5,,235,267,-32,Ryan,Williams,Beuerlein,Moore,Clark,27,25,4,3,8,17,10,28,-2.0,-0.3,-2.3,-5.6,3.3
1993,NFL,Phoenix Cardinals,7,9,0,4th of 5,,326,269,57,Bugel,Beuerlein,Beuerlein,Moore,Proehl,9,8,7,21,21,8,14,28,3.6,0.4,3.9,1.9,2.1
1992,NFL,Phoenix Cardinals,4,12,0,5th of 5,,243,332,-89,Bugel,Chandler,Chandler,Johnson,Hill,24,17,20,24,26,23,19,28,-5.6,2.5,-3.1,-2.9,-0.1
1991,NFL,Phoenix Cardinals,4,12,0,5th of 5,,196,344,-148,Bugel,McDonald,Tupa,Johnson,Jones,27,27,22,16,14,24,27,28,-9.3,3.8,-5.4,-4.9,-0.5
